Lemma#PoS,AFRAID,AMUSED,ANGRY,ANNOYED,DONT_CARE,HAPPY,INSPIRED,SAD
1820s,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1840s,0.0,0.0,0.0,0.0,0.54572461,0.25164631600000004,0.202629074,0.0
1850s,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
1860s,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1870s,0.226801401,0.027792637999999998,0.20275447600000002,0.111962066,0.19727428100000002,0.058750013,0.0,0.174665125
1880s,0.0,0.19089971100000003,0.012686198999999999,0.07453729,0.029315354,0.13743291900000001,0.5551285260000001,0.0
1890s,0.0,0.0,0.0,0.0,0.46022592100000004,0.20805968800000002,0.331714391,0.0
18th,0.12099774099999999,0.14133459,0.071742246,0.10520490099999999,0.128347717,0.19369646899999998,0.111117595,0.127558742
19,0.11997472099999999,0.10958630400000001,0.127803106,0.112061774,0.129856458,0.161476169,0.09304904,0.146192428
1900s,0.026253928,0.154425696,0.105410559,0.024884029,0.011417974,0.27202982,0.274155982,0.131422013
1920s,0.036627539,0.29523713,0.040734231,0.098889016,0.205635522,0.105730233,0.18765642600000002,0.029489903999999997
1930s,0.121903863,0.107837507,0.18020616,0.136784311,0.067475725,0.10667872099999999,0.137438676,0.141675038
1940s,0.054375309000000004,0.140326798,0.106666682,0.066735191,0.28377734600000004,0.112122631,0.14217834199999999,0.09381770099999999
1950s,0.076793236,0.22677846,0.036742406,0.069227815,0.16921546199999998,0.077435983,0.17768814100000002,0.166118498
1960s,0.053643900999999994,0.174751085,0.144777347,0.081464708,0.14884552199999998,0.097682774,0.143913022,0.154921641
1970s,0.14633675599999998,0.108724885,0.128880161,0.10010931599999999,0.101103546,0.10227918300000001,0.142174724,0.17039142899999998
1980s,0.052705445,0.15402792699999998,0.137683478,0.11617877,0.14334097099999998,0.09837556300000001,0.133037648,0.164650197
1990s,0.134561351,0.129502797,0.115010302,0.088081158,0.11811848300000001,0.11330796800000001,0.11047934699999999,0.19093859300000002
19th,0.044955649,0.204245559,0.054313372,0.073765553,0.20639395800000002,0.177816327,0.131783503,0.106726078
1st,0.10318689800000001,0.112592955,0.09100497699999999,0.15436333800000002,0.163165547,0.168605395,0.11281395,0.09426694
2,0.130510226,0.10609257300000001,0.13283899400000002,0.110564952,0.14541315800000001,0.153860162,0.097168601,0.123551336
20,0.124380175,0.12094805300000001,0.119098114,0.101857285,0.129875527,0.148953165,0.09959662,0.15529106199999998
200th,0.0,0.0,0.0,0.0,0.792075898,0.060874105,0.14704999800000002,0.0
20th,0.153510671,0.17082106,0.054849269000000006,0.072552461,0.134493673,0.142048199,0.137317924,0.134406744
21,0.11841298300000001,0.121970094,0.11232746800000001,0.11148250800000001,0.135104521,0.15615853400000002,0.10376341,0.14078048199999998
21st,0.0,0.0,0.0,0.07315881099999999,0.503531031,0.075848692,0.302879217,0.044582249000000004
22,0.112255883,0.116984154,0.13683731300000002,0.129095219,0.12984842900000002,0.158396392,0.101638395,0.114944215
22nd,0.031820178,0.207597819,0.056104812999999996,0.12011023400000001,0.07356396400000001,0.20957784899999998,0.135490765,0.16573437800000002
23,0.098110393,0.11800452800000001,0.13626164699999999,0.113171326,0.142944281,0.17241434100000003,0.098515504,0.12057798
23rd,0.145740822,0.13504302099999999,0.06820714900000001,0.077049322,0.13099248800000002,0.18004194899999998,0.14638432,0.116540929
24,0.136858908,0.11704567800000001,0.108022844,0.118622958,0.125636575,0.157398573,0.10697378800000001,0.129440676
24th,0.128050451,0.081980212,0.072422155,0.10588819699999999,0.17502516399999998,0.19290476899999998,0.16964225800000002,0.074086795
25,0.12962769400000002,0.12083172199999999,0.11421663300000001,0.125317743,0.128514894,0.15045729300000002,0.100503905,0.130530115
25th,0.033129555,0.152909727,0.09183632,0.11265292199999999,0.20366874100000001,0.176571833,0.151608245,0.077622657
26,0.139671165,0.116917711,0.131737087,0.102902657,0.121376536,0.130145871,0.09324477,0.16400420400000001
26th,0.11197690800000001,0.104821314,0.08705931199999999,0.043565955,0.237754931,0.17821299100000002,0.120811251,0.11579733800000001
27,0.148430128,0.10724712199999999,0.135859259,0.11880155099999999,0.112680213,0.134111841,0.09358578699999999,0.1492841
27th,0.052294928,0.083283496,0.158832194,0.12135182900000001,0.15489001300000002,0.15701091,0.116623765,0.155712866
28,0.113847506,0.113700495,0.119863944,0.121552677,0.144431305,0.15294295900000002,0.105141371,0.12851974300000002
28th,0.051807427999999996,0.233076266,0.11178965099999999,0.056717227,0.05659031,0.178799819,0.13794081,0.17327848899999998
29,0.138922561,0.13744451300000002,0.12011077,0.114388714,0.134090662,0.149180187,0.083798818,0.122063774
29th,0.011286093,0.17029717,0.065958861,0.06493386799999999,0.15190151300000002,0.229195918,0.160955177,0.1454714
2d,0.073708263,0.241348958,0.055489049000000006,0.09879510400000001,0.08548298,0.22516148600000002,0.13056710400000002,0.089447056
2nd,0.11378033900000001,0.10511857,0.122770743,0.154720057,0.132182306,0.173845133,0.096991831,0.100591021
3,0.121976675,0.11732030199999999,0.12800583,0.130462669,0.130875934,0.14399204699999998,0.110560105,0.116806439
3-d,0.0,0.38102872600000004,0.11141319699999999,0.002833784,0.259404784,0.158890523,0.057935472,0.028493513999999998
3-dimensional,0.0,0.039457631,0.0,0.0,0.492316341,0.301177904,0.106023092,0.061025032
30,0.160171784,0.11256742199999999,0.12402648599999999,0.11375520300000001,0.118839316,0.13198765699999998,0.094376612,0.144275519
30th,0.10332278199999999,0.13392494900000002,0.08879580000000001,0.079094035,0.110809009,0.17146082199999998,0.086712729,0.22587987399999998
31st,0.083265749,0.0,0.010447352,0.052614025999999994,0.46674171200000003,0.021027775,0.023903793,0.341999592
32nd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
34th,0.0,0.616141949,0.0,0.0,0.0,0.38385805100000003,0.0,0.0
35th,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
